iter	Passed	Remaining
0	17	8898
1	26	6534
2	34	5710
3	42	5273
4	50	4968
5	58	4806
6	66	4678
7	74	4586
8	82	4502
9	90	4418
10	98	4365
11	106	4327
12	114	4302
13	122	4266
14	131	4242
15	139	4224
16	147	4184
17	154	4145
18	162	4121
19	170	4089
20	178	4067
21	185	4037
22	193	4009
23	201	3989
24	208	3967
25	216	3951
26	224	3939
27	233	3933
28	241	3925
29	249	3910
30	257	3893
31	265	3877
32	273	3866
33	281	3854
34	289	3842
35	297	3832
36	305	3818
37	312	3797
38	319	3776
39	327	3769
40	335	3753
41	342	3739
42	350	3726
43	358	3715
44	366	3703
45	374	3695
46	382	3690
47	390	3678
48	398	3667
49	405	3653
50	427	3760
51	435	3748
52	442	3729
53	449	3716
54	457	3701
55	465	3688
56	472	3672
57	480	3658
58	487	3646
59	495	3633
60	503	3622
61	510	3609
62	518	3597
63	526	3585
64	533	3573
65	541	3561
66	549	3548
67	557	3539
68	564	3528
69	572	3517
70	580	3506
71	588	3496
72	596	3488
73	604	3479
74	612	3470
75	620	3460
76	628	3450
77	636	3441
78	644	3433
79	652	3426
80	660	3415
81	668	3410
82	676	3400
83	684	3387
84	691	3377
85	699	3367
86	707	3357
87	714	3347
88	722	3338
89	730	3326
90	738	3318
91	746	3309
92	753	3298
93	761	3289
94	769	3279
95	777	3270
96	785	3263
97	793	3253
98	800	3242
99	808	3234
100	830	3279
101	838	3270
102	845	3259
103	853	3249
104	861	3241
105	869	3231
106	877	3222
107	885	3212
108	893	3205
109	901	3194
110	908	3185
111	916	3174
112	924	3164
113	931	3153
114	938	3143
115	946	3132
116	953	3122
117	961	3112
118	969	3102
119	976	3093
120	984	3083
121	991	3072
122	999	3062
123	1006	3052
124	1015	3045
125	1023	3037
126	1031	3028
127	1039	3021
128	1047	3013
129	1055	3004
130	1063	2996
131	1071	2987
132	1079	2978
133	1087	2969
134	1095	2960
135	1102	2951
136	1110	2943
137	1118	2934
138	1126	2924
139	1134	2916
140	1142	2907
141	1149	2897
142	1157	2889
143	1165	2880
144	1172	2870
145	1180	2861
146	1187	2852
147	1195	2842
148	1202	2833
149	1210	2824
150	1232	2848
151	1240	2840
152	1248	2831
153	1256	2822
154	1264	2814
155	1272	2806
156	1280	2798
157	1288	2789
158	1296	2780
159	1304	2771
160	1312	2763
161	1320	2754
162	1328	2746
163	1337	2739
164	1345	2731
165	1352	2721
166	1360	2712
167	1367	2702
168	1375	2694
169	1383	2685
170	1391	2676
171	1398	2666
172	1406	2658
173	1413	2648
174	1421	2639
175	1429	2632
176	1437	2623
177	1446	2615
178	1454	2607
179	1462	2599
180	1470	2590
181	1477	2582
182	1485	2573
183	1493	2564
184	1500	2554
185	1508	2546
186	1516	2537
187	1524	2530
188	1532	2522
189	1540	2513
190	1548	2504
191	1556	2496
192	1563	2487
193	1571	2478
194	1578	2469
195	1587	2461
196	1594	2452
197	1602	2444
198	1610	2435
199	1617	2426
200	1639	2438
201	1647	2430
202	1655	2422
203	1663	2413
204	1671	2405
205	1679	2396
206	1686	2387
207	1694	2378
208	1702	2369
209	1709	2360
210	1717	2351
211	1724	2342
212	1731	2333
213	1739	2324
214	1747	2315
215	1755	2307
216	1763	2300
217	1771	2291
218	1779	2283
219	1787	2275
220	1795	2266
221	1803	2257
222	1810	2249
223	1818	2241
224	1826	2232
225	1833	2223
226	1841	2214
227	1849	2206
228	1857	2198
229	1865	2189
230	1873	2181
231	1881	2173
232	1889	2164
233	1896	2156
234	1904	2147
235	1912	2138
236	1919	2130
237	1927	2121
238	1934	2113
239	1942	2104
240	1950	2095
241	1957	2087
242	1965	2078
243	1972	2069
244	1980	2060
245	1987	2052
246	1995	2043
247	2003	2035
248	2010	2026
249	2018	2018
250	2039	2023
251	2047	2014
252	2055	2006
253	2062	1997
254	2070	1988
255	2077	1980
256	2085	1971
257	2093	1964
258	2101	1955
259	2109	1946
260	2116	1938
261	2125	1930
262	2133	1922
263	2140	1913
264	2148	1905
265	2155	1896
266	2163	1888
267	2171	1879
268	2179	1871
269	2187	1863
270	2194	1854
271	2202	1845
272	2209	1837
273	2217	1829
274	2225	1820
275	2233	1812
276	2241	1804
277	2248	1795
278	2257	1787
279	2264	1779
280	2273	1771
281	2282	1764
282	2290	1756
283	2298	1747
284	2305	1739
285	2313	1731
286	2321	1722
287	2328	1714
288	2336	1706
289	2344	1697
290	2352	1689
291	2360	1681
292	2368	1673
293	2376	1665
294	2384	1656
295	2391	1648
296	2400	1640
297	2407	1631
298	2415	1623
299	2422	1615
300	2443	1615
301	2451	1606
302	2458	1598
303	2466	1590
304	2473	1581
305	2481	1573
306	2489	1564
307	2497	1556
308	2504	1548
309	2511	1539
